img,label
20709,2d
23526,kh
9997,qh
5522,6c
24093,3s
37799,6h
27288,2c
16500,jd
26634,qd
10722,jc
17551,kc
30400,9c
23639,kh
17478,kc
32540,8d
243,6d
36276,8c
2298,9h
59,6d
24220,3s
16924,jd
2648,9h
33499,9s
31636,8s
34698,4c
25557,qs
13755,kd
6319,8h
7779,4h
10110,qh
24185,3s
7073,7d
6508,8h
2024,5h
27357,2c
33468,9s
27139,2c
37838,6h
27378,2c
20024,2s
210,6d
31616,8s
1602,5h
29463,4d
36009,8c
19780,2s
22068,qc
28870,4s
1685,5h
4890,ad
16121,js
10596,jc
24102,3s
15210,2h
7206,7d
13053,ks
32360,8d
20575,2d
26500,qd
14561,3h
19557,2s
2324,9h
13136,ks
20650,2d
35013,4c
30177,9c
27213,2c
2671,9h
281,6d
34536,4c
15137,2h
29540,4d
33074,9s
28611,4s
27297,2c
3760,as
29409,4d
3500,7c
33131,9s
3213,7c
36418,8c
1083,6s
9428,ac
27441,2c
34026,9d
29770,4d
35427,ah
13824,kd
36258,8c
7992,4h
30509,9c
11294,10d
9472,ac
3393,7c
35670,ah
32631,8d
9852,qh
34756,4c
24902,3d
2704,9h
15762,js
33269,9s
32755,8d
36857,5s
5442,6c
6073,8h
499,6d
8021,4h
35575,ah
24059,3s
33843,9d
28145,7h
29706,4d
3379,7c
21053,jh
5513,6c
834,6s
13503,kd
17747,kc
20519,2d
34933,4c
19564,2s
9124,ac
28575,4s
38512,5d
8618,7s
13535,kd
26333,qd
4603,ad
18188,10c
1547,5h
9779,qh
23585,kh
16010,js
5574,6c
35663,ah
4739,ad
12910,ks
26591,qd
36127,8c
9462,ac
29720,4d
26593,qd
34719,4c
13914,kd
21129,jh
34968,4c
28583,4s
10739,jc
29591,4d
26532,qd
24917,3d
27365,2c
3044,7c
14473,3h
35434,ah
24961,3d
3516,7c
21057,jh
1568,5h
13560,kd
30193,9c
22596,10h
30511,9c
19215,3c
29372,4d
17325,kc
13590,kd
14520,3h
16999,jd
22144,qc
16914,jd
7839,4h
7659,4h
10965,jc
15902,js
1590,5h
34758,4c
22651,10h
4570,ad
9321,ac
10094,qh
127,6d
33827,9d
6435,8h
9262,ac
15448,2h
16879,jd
12267,10s
24416,3s
6023,8h
21238,jh
28196,7h
20631,2d
24437,3s
4092,as
26645,qd
6391,8h
37098,5s
27369,2c
25268,3d
31224,5c
19008,3c
5555,6c
5523,6c
11339,10d
24233,3s
21949,qc
5771,6c
10724,jc
22085,qc
35557,ah
1916,5h
36420,8c
5340,6c
10507,jc
36935,5s
2015,5h
9031,ac
31156,5c
34065,9d
15848,js
28533,4s
16012,js
27183,2c
23415,kh
502,6d
27104,2c
21901,qc
5280,6c
24125,3s
15836,js
3979,as
33500,9s
28840,4s
16842,jd
35503,ah
390,6d
10178,qh
16595,jd
8762,7s
16100,js
14482,3h
4793,ad
7909,4h
33940,9d
8704,7s
15254,2h
22109,qc
6301,8h
28590,4s
5528,6c
5481,6c
32736,8d
8543,7s
37966,6h
19765,2s
34658,4c
13697,kd
10852,jc
21981,qc
7155,7d
4000,as
12965,ks
26015,qs
33523,9s
14484,3h
4700,ad
1613,5h
17644,kc
2364,9h
21364,jh
35729,ah
20684,2d
10869,jc
9376,ac
16132,js
29367,4d
1548,5h
17738,kc
4855,ad
2680,9h
15029,2h
10899,jc
21817,qc
10903,jc
24883,3d
32587,8d
3941,as
5254,6c
28132,7h
30448,9c
10244,qh
15017,2h
22609,10h
20273,2d
17413,kc
4217,as
20543,2d
7784,4h
3353,7c
925,6s
27051,2c
1204,6s
17774,kc
12233,10s
22163,qc
4064,as
3094,7c
32289,8d
24939,3d
36467,8c
16098,js
32389,8d
16948,jd
28885,4s
35304,ah
34133,9d
27227,2c
34908,4c
18513,10c
10080,qh
7936,4h
34768,4c
6278,8h
36360,8c
17469,kc
33085,9s
30338,9c
37261,5s
29576,4d
18280,10c
175,6d
16862,jd
19205,3c
12837,ks
8497,7s
31777,8s
22056,qc
14424,3h
9771,qh
17346,kc
21499,jh
29666,4d
137,6d
16700,jd
