card_1,card_2,result
19041,35659,62
13674,38553,18
35401,2402,92
6025,19654,38
32332,5618,20
28068,9222,56
5481,7826,28
21505,835,62
19682,1783,26
21512,21964,68
16816,38535,16
10715,2309,58
9785,30192,66
9849,13023,87
27922,28982,40
15468,9375,36
6442,21967,56
10646,24930,25
1645,3814,62
36045,35544,72
7963,27786,44
1879,21769,44
1638,28920,32
21817,21980,48
35768,37794,80
32310,24251,17
15925,34859,41
14371,22210,36
30486,15002,26
8573,9755,69
37843,12965,63
38651,25168,8
28256,22542,68
3302,32564,22
23456,33116,79
38444,30159,23
33873,26431,21
34863,25817,44
17404,7907,42
5663,36949,27
25949,2732,72
4533,31102,24
10735,15827,55
32333,36808,23
5263,2593,48
7848,22648,56
33847,145,15
23548,37824,76
6058,316,38
18439,12802,59
27397,34767,12
7025,9770,55
33079,2561,63
22009,23309,76
9016,274,34
24491,316,15
12276,26391,42
6285,9382,60
31827,34873,32
5459,21819,36
17298,7109,33
18206,25084,23
12519,4797,44
27397,16910,15
32554,4664,22
31957,3463,38
23728,31828,76
4723,9265,42
6368,15138,40
30790,13561,23
31981,9516,52
19255,14680,18
25670,25545,72
33895,32717,17
19052,8632,27
12177,37696,54
9990,34868,56
38550,22755,45
9340,198,34
16711,29571,15
15961,30123,51
32279,32724,16
14281,9989,60
34795,20752,10
22975,31040,50
25885,27997,64
15778,1872,53
16204,34217,42
5395,17489,38
12014,21417,74
31121,38386,15
23445,30306,70
16039,12796,72
1547,12290,50
9303,36009,44
7664,7034,23
15935,18276,53
24467,11630,19
8752,19144,27
6404,7025,39
4847,31524,38
37916,20293,26
38405,51,11
27776,6463,60
11692,5562,22
27161,36386,20
16966,31883,35
13225,2495,75
12921,37529,63
22651,25855,76
28890,21200,56
38516,9953,53
4528,5322,26
6846,4977,21
30218,34742,26
25720,31253,46
6897,27470,11
7035,36215,23
5773,24412,21
36167,31983,40
20326,18486,22
1015,6125,50
11480,27186,14
29651,20677,6
8761,7997,37
15194,28840,20
33967,9156,37
13522,8379,34
1127,6379,50
9207,7223,35
23546,838,70
21255,31855,68
38698,19507,11
3276,27225,18
7795,29002,28
