card_1,card_2,card_3,result
4216,25758,871,96
24010,27226,2468,49
27345,31121,238,20
2286,8478,2336,93
32559,17703,2730,70
4751,37244,31806,53
8671,24034,10508,52
25842,27147,19908,46
37258,22249,4239,81
30130,2491,35506,110
36041,36856,22546,71
19525,7108,17726,39
33807,35567,26432,77
32377,16575,25117,22
16065,13651,7819,62
7266,2593,21275,87
26020,12521,912,84
38361,21463,32282,57
818,25050,18304,41
12293,1274,9027,76
31138,9958,30134,76
19910,21174,26715,62
868,12952,37882,81
34623,294,16736,25
26573,35399,34577,76
16891,5539,19194,29
32432,4025,23382,102
30186,2693,28606,66
16808,12338,34667,49
34552,38664,26283,25
1546,44,14724,38
27378,33139,7710,47
26489,33899,11292,31
20529,33128,4851,43
27414,13233,28519,55
37531,4124,37197,81
14499,17685,2347,74
34632,18454,38630,33
15932,35365,15838,122
25058,21935,1566,47
6486,28169,36811,75
27939,30386,31047,56
18837,7772,13272,61
2685,20312,30979,48
7944,1187,31999,58
840,27924,28678,58
21256,37,9181,78
37750,12289,31522,78
19267,30446,24511,33
11292,15496,9449,46
9312,4829,28896,54
34186,1166,2517,63
17630,442,28225,60
31217,18955,29326,20
38535,33150,26686,44
13865,8428,34052,43
27941,23583,14380,92
34263,38741,18503,34
14759,7979,28193,56
6357,33302,35675,115
1035,35278,35583,130
5697,29414,15497,24
13235,3187,22674,93
5702,36008,11445,38
25089,10764,25914,61
23382,29018,25681,100
3449,27471,34180,27
8614,30357,30304,57
27010,10850,28549,38
26509,30356,11717,40
10789,4150,23372,116
34032,30236,17590,53
4770,28164,3988,84
5269,31028,31842,46
11380,25699,11616,56
1159,21047,5467,74
16798,14675,3109,37
16669,2495,10266,95
3870,24029,35290,107
34810,28763,25593,56
24798,1196,237,27
33081,4581,4687,55
27236,21401,21300,92
38004,7855,12035,70
22883,13661,19559,59
19508,18373,30484,44
30759,30975,16214,53
5017,34896,11337,32
23003,27878,30825,78
4834,26475,485,32
1911,16940,15424,39
9344,30058,21025,90
30372,12083,2771,84
19052,11621,8267,37
4852,11723,7686,40
2587,18050,25845,92
25954,15128,6760,51
31123,32372,21362,62
22783,27181,21484,88
35405,35312,7150,119
19267,31949,21213,74
30057,35374,3387,88
7608,31820,304,46
38453,28847,12314,47
18439,14543,32264,40
16960,12816,5473,62
36933,26724,10880,49
477,22871,11353,56
24845,17284,29622,33
10656,31660,21899,70
31656,26416,30163,54
38440,35285,4660,75
36487,6980,10914,45
13894,36981,2481,64
28900,11678,4126,64
29367,33407,9426,59
34519,28538,37732,44
33969,23425,4639,75
29438,16100,25681,73
14419,5498,24137,33
15100,34612,31841,40
33507,27794,14022,68
15779,27267,31927,61
15929,486,20507,41
1266,10846,21993,64
24349,12762,36953,63
14454,23319,37942,88
24033,34563,8773,38
12417,1848,19084,56
6980,18021,30855,37
37137,10748,25520,73
12928,16209,29262,76
3783,29579,15262,54
21776,1656,25257,47
25736,33352,18507,83
25731,937,33879,63
28808,22576,23529,104
15828,2444,31104,79
34141,22216,36409,49
241,23679,37209,73
16847,3921,8528,74
8631,11490,6459,63
10176,24099,6277,89
2281,9396,14429,76
37884,29511,35409,84
21167,19232,37935,74
15347,34869,12236,46
33413,18444,11472,57
3863,14013,33762,64
25741,6254,8547,89
15203,33447,18324,55
34773,12493,28693,50
19846,36159,25224,25
24517,34916,4012,59
26458,32435,14638,32
12858,12006,3206,83
4229,7508,7561,74
32319,4202,4899,64
30320,16964,9808,77
33188,8495,33896,57
111,25178,7805,25
2638,12789,25031,78
21842,10949,4526,60
27358,31233,19266,20
31225,7545,12322,56
38455,38651,9966,58
28068,12243,30212,76
349,24175,25216,18
28040,24083,7910,53
13915,22233,6189,69
31205,5693,4845,36
25578,19952,36857,57
28878,26300,20338,26
28899,1127,17714,56
26689,7642,3468,42
35677,1613,21405,120
21930,21439,19140,74
12874,2769,25695,111
2280,9796,4851,98
18262,24365,33502,56
11409,36785,26340,37
23297,27014,18253,76
28745,33256,34109,48
27192,28769,35017,24
36196,15795,7926,65
27238,10526,2338,62
16174,3467,15946,80
23352,31601,23292,128
15045,3523,36113,38
28030,22208,14464,64
22090,1598,22681,84
15928,19945,331,45
37120,21236,8652,80
6062,11679,10843,64
38532,17744,862,49
34984,36101,12368,54
35023,368,17733,40
29318,24246,6041,45
490,22051,9022,58
36312,37610,27488,44
12315,35294,24880,89
12923,26635,25803,87
21020,38477,2648,85
6825,6484,14318,51
1955,30331,29623,42
30916,36885,15904,58
25742,14631,24097,57
2251,28966,23257,100
30851,26269,24912,25
