card_1,card_2,card_3,card_4,result
10838,22624,3978,34674,130
31874,30160,16646,16161,104
17759,37950,22519,27423,135
30992,8382,24816,3933,94
13801,26599,34153,28193,80
26762,13694,13046,33200,99
5589,36131,4585,9799,105
32514,22614,32444,6920,72
304,27304,12978,1599,104
27224,3145,7015,34744,59
18375,29321,18028,34983,67
22244,21321,1963,5476,138
24009,29486,9959,16132,121
13992,3409,24902,32480,44
6179,22532,22631,6263,192
29278,7824,18238,16218,107
31205,27868,25790,31196,120
13577,19754,8448,281,80
28099,15147,1970,31138,149
37970,27075,35580,36135,134
5556,29685,27432,13233,77
30141,8344,18384,12361,114
14612,26551,26304,16227,103
35251,20641,31050,11000,97
30146,10099,37758,9489,145
31077,7908,3822,37786,146
30921,35410,27880,23453,169
16771,18245,27763,15350,121
6833,7917,9968,31513,135
2587,782,30253,19689,130
37002,24409,6231,29371,111
36376,30302,33775,10967,76
28940,8655,13693,24487,105
36476,29303,28851,31868,89
2511,22056,27842,4813,133
19551,27136,19793,30121,93
29609,12126,27170,38724,60
18135,6206,4662,26389,96
13796,2453,6831,23553,120
25082,12212,22753,33829,97
30800,35609,25799,32562,117
909,38684,5614,19124,72
12353,10729,13995,16053,110
6482,36369,1253,36327,121
7865,21238,22153,30112,140
27012,27029,24439,27344,74
10738,27217,19123,3137,75
35009,1691,20606,5411,82
20608,26527,2258,20498,64
33436,34586,778,13842,97
21448,16787,20747,27176,78
29255,5266,19542,18033,74
37824,21083,8457,9058,155
8024,13623,9515,30434,105
36950,8716,21198,14411,156
130,24519,16055,16902,83
3362,32469,31535,442,68
18376,34849,4891,8671,87
3982,34952,1758,37264,132
320,33013,1271,10599,97
38275,36361,16003,27996,109
19780,5639,32687,9239,82
495,38728,26693,31641,57
30348,3339,19164,425,64
18351,18064,2685,25608,132
9931,4742,24089,20523,96
3759,33024,23519,18266,150
24080,23547,28081,17413,153
11773,5740,8363,14737,104
8380,4028,23460,9832,176
29379,16018,25243,18768,60
808,9348,32309,23489,119
30825,17503,12253,4819,94
969,2565,25181,6369,130
27344,28564,12512,21217,131
31085,17018,30434,30186,73
6152,29007,16749,1110,120
4876,34018,28950,31012,71
9979,16728,28972,25580,130
9288,37077,14393,22621,149
33035,38665,24271,8723,102
28835,38747,34255,6765,51
19546,6363,36237,973,128
20730,19585,16764,37786,86
32015,19636,34215,1169,103
10996,14336,3239,13542,99
2554,18420,34531,7982,131
27890,32757,24204,14675,125
15841,5641,9780,14520,149
3414,29360,23722,2506,124
31230,16886,22700,29559,82
13045,30152,22501,12298,146
11288,15033,1739,29504,99
8500,16937,38359,22702,98
24331,31687,7058,18481,93
27947,24900,25522,9870,138
2723,16502,24368,6314,135
13129,25611,37124,23267,160
23560,22822,4697,14009,128
18326,1238,13179,11650,104
37733,2714,33088,19115,144
2616,34937,34507,21932,107
37787,36252,1576,28227,156
36265,34756,18303,7178,68
9415,6769,31747,27846,114
3888,26505,37880,9798,148
24892,19201,19245,292,41
14271,2701,25777,1847,172
31157,23745,26612,19882,110
36169,10810,7825,33761,97
37803,28648,23452,37822,172
20734,26351,13032,37082,84
33076,17326,26347,16626,84
25670,1839,22008,13652,120
6192,7976,29768,8340,127
38,6245,25181,35371,109
4064,10814,12054,7999,143
32364,19099,21423,2374,122
26548,34865,21794,15814,91
17634,5641,33966,25851,92
25991,4510,1999,11667,106
13213,840,28938,22042,126
25116,16616,17599,18779,56
14553,30323,17726,36932,121
24033,15172,18488,12781,132
36131,436,30829,413,51
31587,36144,36407,18780,92
6136,13142,14544,37255,159
37924,10000,18823,9512,139
2281,28718,22163,8430,136
11763,32520,12226,10125,105
13548,3417,18916,5383,68
7082,35725,31246,34743,95
10086,12334,33483,21069,172
9298,21177,34216,16256,123
3428,19056,43,1520,86
14346,79,10080,2320,147
5338,7087,8670,12894,98
18895,36119,32417,1209,77
13050,37803,14336,6953,133
16258,12518,899,9782,156
36115,33956,6873,21183,87
31100,34549,35272,12257,124
5508,17698,9269,19584,100
13792,1692,7657,20730,102
26546,34969,9513,20008,84
22928,29712,21207,32712,111
24320,25527,35694,31763,154
6022,31729,12499,29356,121
38562,26713,12951,30392,78
16061,30920,10214,28832,136
25815,27202,26509,6427,112
34269,15417,25967,31095,106
228,14023,33471,4119,94
5372,13830,7126,30443,61
2628,15994,37076,24975,119
28676,6369,13658,24393,119
5742,34550,7167,28707,73
