card_1,card_2,card_3,card_4,result
26521,21456,16016,15169,97
26503,872,37199,2396,81
6147,21431,25659,31905,136
35329,10051,14330,11422,126
19223,28892,6176,1642,70
7002,25227,34631,38480,23
15227,34613,26491,28997,40
21262,34817,3022,18190,86
31204,19128,10604,11451,48
9464,8545,7781,18818,71
29715,21020,5539,27059,64
2344,28028,22994,28112,132
20683,34862,4051,22778,92
31899,20667,6226,30040,76
10179,8633,12959,12088,138
21896,35398,24184,38554,94
24422,5266,12982,25725,96
12252,28819,6895,32398,57
34569,16724,30805,33096,56
22823,1899,16132,21451,137
14478,29547,32527,27237,28
4709,20286,24979,11335,29
2341,16976,24896,35355,106
21307,16644,10081,1743,123
25925,8300,38554,37522,86
23551,19637,19221,9224,92
28665,34225,33518,21504,92
26410,37521,11653,21845,70
9996,35679,23547,36939,171
14737,13121,18057,20708,73
37583,34001,16635,13202,83
37040,24389,27355,19252,34
24367,27197,5325,21802,49
33429,19633,32021,1090,75
6116,24930,6253,15802,100
10266,31595,25673,22992,148
27857,9285,30393,13213,113
12951,33257,37751,5535,102
31688,21439,23432,36129,136
1690,7108,16178,5559,72
25123,30426,26478,30487,51
21306,30200,13094,20347,103
37767,11574,31539,13747,71
1134,18501,33842,19827,53
12417,3127,27189,282,54
9348,38704,19731,9123,67
38349,13860,16085,31818,75
19246,7233,11407,38714,28
28575,1537,13940,12940,84
22569,15384,21762,21040,116
1526,24901,27819,19956,57
6961,3798,10692,24983,74
19950,6302,13151,36280,93
31506,24159,1500,21432,97
22123,29720,3041,11756,52
33793,25980,30470,16561,74
18428,26403,28114,8624,81
6405,37555,3508,31785,94
21433,25977,12096,34260,119
33834,23470,25253,30138,82
14627,32376,15755,8685,74
6519,28737,23494,33449,123
14565,5673,31264,25969,70
10715,5709,5601,12249,76
18914,33343,10754,30437,73
38458,22767,21367,6369,121
7193,33233,33338,15066,69
19867,5749,30302,23455,88
27000,27303,8684,15441,37
37563,12828,16706,13931,87
12045,31528,2483,6872,97
37658,10565,25834,1887,102
1856,14721,26744,28663,56
21296,27386,34505,27819,84
3321,36034,31642,24980,57
37674,928,33912,26008,87
36090,31048,35505,38609,87
34003,7021,4656,7181,37
18013,20673,14284,29664,38
9177,8554,10001,35545,153
27465,26292,1874,22848,76
33094,33384,6353,38466,91
15478,27409,22548,2498,88
12782,1024,37948,37861,105
3085,9252,37004,15145,65
27937,34869,34090,10954,67
12424,11383,31945,33115,91
186,25714,6023,11553,84
3153,14347,15920,30179,77
10007,35472,33488,4237,173
7979,3916,3516,19050,78
36059,26674,18858,4856,48
16869,37750,335,21463,85
17376,33399,32372,24184,70
18309,30882,27770,31005,68
4847,22760,20512,30988,66
28780,35361,36389,16158,117
28129,12070,2739,24192,103
2303,28894,22140,33911,81
19092,24305,7794,10802,53
31646,10228,12468,33404,129
18385,26368,24382,28779,53
1785,29280,29351,4102,70
28948,2389,287,19546,60
10739,17600,25593,22854,124
28268,2000,10960,24107,79
20319,16071,6839,28871,54
26468,21518,27189,21203,104
9244,32565,33832,18504,65
30826,4888,17338,32338,58
20541,37959,50,12781,71
38257,14756,2539,25057,56
33397,18417,1850,18480,87
18811,11334,21116,2015,80
2534,31967,25030,22876,103
28525,19065,2468,14612,66
27425,33184,24104,19607,46
17338,17727,22525,18182,112
15925,37220,6375,37985,104
6893,37211,25023,10155,73
4579,31266,7115,31882,55
23452,29664,22146,16968,91
36193,7246,10583,37675,69
14759,20659,29410,29763,22
1838,28623,15137,19938,46
28840,35343,37021,35710,139
13036,28965,10146,4192,141
22962,7879,19864,36313,78
286,25053,2549,13227,84
15165,17372,28080,33263,89
36132,37018,15157,21163,83
21436,33201,15860,9375,132
38686,9482,8745,28955,66
29583,10542,1557,4785,60
15307,6346,22899,9975,128
6293,19541,14527,37069,65
6021,38381,15913,32411,78
3397,16214,12266,24426,86
29408,34584,24941,25787,51
21337,33413,29459,11369,85
36932,5683,33197,18908,60
3130,36853,27822,2636,93
17445,22007,11577,16718,71
797,30254,27327,6230,72
14545,24432,194,31917,51
258,15036,30816,16187,57
8481,43,31772,14491,63
32253,33004,30017,17734,79
23372,9789,36402,32313,124
19707,25756,26332,18238,74
11516,36972,2278,37169,76
5547,28027,36474,50,62
11659,8497,27757,17660,85
23610,17594,21844,5311,114
8688,25584,824,8625,96
9299,28741,10179,22038,112
8286,37837,13980,14299,70
28504,21278,24971,11702,69
19605,25721,28776,37768,78
37586,2313,36186,15270,84
21843,36836,12328,14448,81
13061,14360,33409,18498,98
32411,7067,24201,20661,26
137,33757,27882,24030,52
26318,236,2411,23609,106
27045,20272,24522,21105,59
18385,31151,32766,479,44
35539,22074,20687,27971,110
37112,15906,31770,22032,96
15045,3876,3904,28096,120
13006,22261,2422,501,105
3252,28681,15500,18278,54
16996,334,7072,18194,44
19721,32433,12231,25693,80
1974,27081,22759,10239,112
19827,15775,15132,31053,57
33424,10665,1744,24955,72
12,10047,34846,2521,98
35589,9459,23593,25601,172
19710,23490,10176,37830,130
21766,37794,22020,12413,102
12210,21405,31608,24373,107
3413,10983,790,30909,64
9210,12291,32353,34561,74
17545,11589,36358,7803,68
3420,4157,7008,21751,87
26552,14659,4532,31194,48
30912,10521,25773,11495,78
4267,27965,5658,21268,126
29631,33143,15092,16510,50
34245,29758,4944,2299,63
21436,14644,32256,23337,116
1816,13266,11277,18014,89
20684,35644,12274,31502,112
8685,27765,28594,27342,65
7056,13602,33357,11702,57
19672,27189,6128,25935,78
25019,2767,5654,37632,75
25995,21916,3157,2396,110
15083,4860,34918,4913,44
4236,34140,14668,335,69
