card_1,card_2,result
7172,33116,42
11331,32769,18
28921,10073,81
7928,9800,94
13972,3267,33
13998,1053,45
24071,10693,53
7650,18524,66
25083,11266,13
32258,6895,15
19597,27251,43
19003,22791,65
22620,9954,100
3127,37870,65
29260,37951,49
4168,36764,71
34095,30766,27
4229,1029,72
31589,2460,82
29302,1913,48
34535,19149,33
3408,10821,44
239,9952,57
9210,28946,57
30345,21488,72
3126,14380,62
35412,12836,92
27169,20745,17
36410,19181,37
1815,25129,47
27853,27360,61
28025,18859,62
350,28524,36
22523,7706,92
38734,11674,15
30046,29433,26
27167,25817,53
10856,19875,52
14549,32568,50
35354,35385,106
37127,34097,40
20415,18368,25
1960,32681,52
18503,28852,53
30085,4950,36
37732,8749,78
34700,27349,32
35641,3331,73
28810,14258,72
25703,8293,71
13842,909,45
35543,18861,69
3435,26287,32
28721,24976,33
30344,20445,24
26662,34251,21
26495,37625,57
23665,13248,91
23772,7212,59
22244,12443,61
24132,9991,80
10693,924,56
22218,18302,48
35522,20312,55
15444,24922,44
6931,4838,21
7094,6396,54
31185,23301,70
33758,24881,12
28704,34904,47
36095,34674,38
8589,33376,68
33380,31918,69
17254,4097,66
31209,6405,65
27393,17295,41
25539,14345,80
28922,37911,75
24893,13553,16
7084,10194,58
13046,37648,84
17012,22070,36
18155,11661,33
3409,34086,29
29765,37585,49
25106,19830,31
14729,14337,84
8343,4866,47
12819,32385,47
37688,19208,61
21101,31875,84
29580,7543,47
7719,22665,92
29578,22894,53
8000,15108,84
36086,15417,62
5763,28727,49
34701,21007,67
12986,29000,69
19923,29503,32
5520,18930,35
21020,13139,89
22178,16930,36
14019,29646,17
9463,30848,45
16671,13695,24
15370,18407,64
10519,27781,70
31079,12298,54
36309,15312,62
26478,36029,33
26397,15103,53
14367,38378,47
33359,15438,76
30860,28608,48
36032,21813,46
18383,4808,37
22088,16931,36
7855,35756,96
33026,30765,53
9122,26551,39
3293,38625,25
463,35006,23
22193,30097,47
4182,30016,62
21973,4177,65
28200,10731,70
9227,17335,53
4904,21316,64
15306,19104,57
26022,7170,45
30397,13159,61
8348,12845,72
33015,20304,37
16048,14371,79
10256,17321,77
23502,13116,91
3871,3753,80
966,4063,72
12836,33769,48
13191,12106,75
37546,38353,50
12418,19510,64
24319,24077,58
25010,25924,41
9079,36270,48
18184,35628,76
4054,4859,54
21875,8431,58
24801,31150,21
31174,16830,29
31924,25622,72
17733,16743,37
10973,1198,56
17601,17392,52
18303,28925,53
26377,5764,31
1261,25891,70
25096,27439,18
30088,15089,63
28979,25048,33
29724,31124,22
16060,37213,68
33177,4578,49
21797,1084,57
18936,33513,51
16049,19913,65
3282,14344,62
35435,16502,64
8649,18493,56
19890,22561,77
4154,2588,88
13723,25047,16
22196,18806,41
27924,15013,87
1038,3947,72
36965,8392,64
7743,4078,83
21254,10212,101
3403,3372,40
15500,13844,54
10602,9457,51
33408,8353,68
38668,31220,23
14529,7792,85
17482,7944,69
22174,34810,42
19254,19120,32
10810,28020,70
31502,2446,82
12054,34184,45
31774,3809,74
1083,4914,46
30250,33963,31
23690,20409,54
18465,27427,38
37850,37696,90
12241,7123,43
811,22011,57
22611,37920,94
37718,16930,56
27907,30246,68
26755,22090,37
38617,9788,56
23539,29557,56
5369,27517,34
18192,24416,52
21035,12022,86
2311,12046,84
37567,28540,75
7609,7574,86
16247,13833,50
38703,20366,7
11672,22785,59
28141,20418,48
6862,16910,18
7918,8424,76
9097,36388,48
15822,22542,86
20760,19955,30
27155,22801,64
31920,15150,75
9944,2544,99
5012,22171,39
28946,22658,79
30845,25809,56
25731,913,70
31516,23711,86
11279,21515,60
13776,10521,37
35712,38766,58
34863,7884,60
4795,23494,66
11297,2392,58
22094,38740,30
28975,33287,65
29308,38430,9
38661,2746,53
11624,88,16
18197,4873,37
13850,8023,56
29325,35303,57
999,21827,57
24889,12205,39
7928,13029,82
29471,24462,33
31668,3468,54
36110,34789,38
6884,18027,30
35452,34754,70
26392,32278,20
13021,20527,41
37863,24355,74
904,38282,37
21072,31025,68
7081,1164,39
36491,29599,25
25604,37611,83
20002,12250,64
14474,33996,51
25058,10095,54
25686,18862,54
6396,38678,52
11538,36295,31
24011,10946,53
31166,14543,60
11709,4545,24
27175,28538,45
11008,10123,75
37751,1880,89
29369,32570,12
10224,34184,60
13607,28834,43
9809,17712,77
38520,36987,36
15215,11712,51
27390,18904,31
18311,22517,72
9895,6891,58
8681,27812,79
38649,28735,35
8326,12340,69
2274,31243,66
5514,9435,46
12761,7763,82
27464,19235,31
4209,18973,56
38462,13560,18
31765,31115,52
18835,25578,54
9289,2599,75
18209,10103,74
8648,7878,76
15282,32357,49
37530,4032,85
7119,5743,26
27799,764,78
37799,36290,66
23585,38529,57
5588,28532,49
6929,21140,57
13677,19619,41
36112,10680,45
31110,25944,56
21507,36494,71
19039,3954,56
25782,18461,61
17257,4501,40
29397,4061,44
134,24855,9
4821,13623,27
11256,360,16
7723,37149,74
5599,4884,33
12820,19629,67
32649,7172,15
10046,4157,91
6293,38636,52
37039,7882,74
33212,865,67
33297,10235,86
23539,13923,65
17364,37105,57
28852,37692,75
12327,5382,55
26774,9055,39
11293,34924,27
6278,25102,50
6201,19562,75
21974,36125,46
4614,36391,35
7931,1819,87
26758,16121,49
762,35697,85
5416,33117,54
963,34887,49
12795,3936,79
29670,5259,23
12481,5700,55
23446,31013,70
4227,6082,87
24843,37831,48
4109,22049,65
37593,9077,72
14020,24998,16
26469,22811,61
5380,9823,70
34935,19149,33
21387,6937,57
23318,32495,60
6862,10746,31
22246,8511,58
28063,25998,84
11671,851,42
31974,12936,73
21052,32678,58
19603,30861,46
3451,25120,23
16995,33408,46
9824,27876,97
21440,11443,60
17735,37964,71
31073,18943,34
1992,31211,62
18442,36843,54
14704,26542,54
13778,8596,46
12052,5327,55
1575,2452,92
34070,22672,58
26527,31507,46
22879,19668,77
34093,16080,46
12051,36143,57
6222,25016,50
34808,4795,31
1638,14630,86
13907,27078,28
23353,5566,71
28528,12314,66
25716,4929,52
16955,11581,21
4166,4085,80
8556,11323,43
36395,28639,51
38418,6156,52
28884,7664,73
1832,27271,59
16821,17755,37
10533,31726,58
34861,13208,56
8681,33516,68
26709,15995,49
3362,11405,30
6768,4963,21
38550,25757,43
7509,19944,71
16155,33371,72
4058,995,72
2007,23276,96
18296,13799,36
6295,9904,98
28968,36256,51
27913,3858,86
17312,5648,45
7512,21285,93
19106,2603,64
14665,17570,68
914,22798,81
27451,25537,53
20498,34589,19
14364,23546,94
23254,9440,79
8762,30055,55
3420,17371,46
30906,27501,33
2506,9918,99
36003,7544,64
3421,25612,58
8483,28031,79
16107,22901,86
25066,17665,29
31821,11660,44
16856,3980,51
14423,1118,74
3294,24452,49
28242,20398,48
15272,15888,78
6383,4123,87
18263,16690,34
37676,7955,88
10110,30393,73
28680,3210,50
29765,24030,33
22220,33224,60
28022,6391,93
992,34880,49
24450,12904,68
17338,31896,60
2315,20426,50
8649,11750,43
33401,2467,83
12309,9513,63
34063,10835,33
9783,24195,80
32660,36845,39
6266,32528,55
23688,25633,90
34504,5716,36
3322,26006,58
33458,123,41
9826,519,57
28856,12320,66
24110,8410,62
21396,18193,73
24232,24256,58
9451,20508,29
22857,9362,76
7568,24317,72
6000,36945,78
31889,33515,69
13021,10677,63
836,19066,48
27308,29413,19
33432,12950,74
37567,21983,70
33081,26016,73
32755,34102,17
2751,30371,70
2456,10934,72
36121,21352,71
26365,24475,41
1576,20709,46
21257,32287,58
2271,27280,63
30460,38480,27
9754,12127,87
5765,19159,35
11766,28782,40
34086,19595,37
10964,25163,27
5672,9417,46
22533,22646,98
35283,15854,90
7557,21841,68
16269,12021,73
14667,917,74
28239,27027,61
34627,38748,22
10855,37234,55
32727,3116,28
15772,15169,78
7845,36027,64
17649,26333,38
4021,24448,69
1816,25630,82
4994,13587,27
38577,25094,8
17546,38273,31
1029,18163,55
33426,31666,69
6344,13144,86
28611,34256,39
13555,26252,25
19637,9795,79
24507,36180,50
9960,28794,81
28593,25934,68
249,15837,43
11496,19053,26
31724,16061,71
9458,13048,66
13860,13040,52
11284,26430,22
19530,37549,73
16704,19673,39
15445,16911,52
9388,20540,29
35477,25929,91
16140,13987,50
5530,21870,44
23638,2419,100
28243,8654,79
823,29691,36
25251,34535,20
259,1618,50
26429,14659,54
9176,24488,56
8482,36841,64
24294,15897,66
18172,27804,69
807,15838,69
28674,27175,45
15293,13047,80
10799,33927,33
27281,26556,27
9242,6953,34
34667,34772,34
32302,1175,40
32623,24396,37
13994,28703,43
16613,19156,27
33088,4100,75
28893,29743,34
808,10221,83
21959,11420,35
31515,10868,58
6330,12938,86
1047,3238,52
9389,3861,67
21130,2255,98
28534,13734,43
20557,37782,47
26521,18386,35
33148,6150,82
4637,26462,26
27329,21110,65
7989,36954,74
34972,22928,66
16599,26514,23
23256,21007,102
21140,21157,100
22647,4122,89
16581,27859,57
33783,33856,18
30410,4063,62
14336,25655,80
18932,10178,67
1899,35575,97
12836,1842,83
24825,15194,44
13718,30309,35
27139,31700,49
8630,12099,69
13806,22886,62
4199,13774,53
31132,8681,51
1750,368,50
34178,13002,48
28923,9821,81
20488,1261,34
29382,26375,16
31619,33902,43
30899,38606,23
16968,8306,44
10991,16201,61
28230,30453,68
12102,9286,63
10854,28747,54
37582,3885,85
19030,34125,25
4960,35419,67
20422,29712,6
36812,37229,62
13894,28000,59
32385,24033,37
16237,6214,84
25818,33810,47
24879,31555,37
7016,21218,57
32328,14555,50
10860,36462,45
2519,31972,82
15342,28840,71
4609,23310,66
18033,13249,62
481,15282,47
16736,31267,29
12337,20462,38
7751,5473,62
32450,32537,16
8750,18394,56
20378,27949,48
24267,33875,38
24304,19920,57
10096,7719,94
12059,1017,68
5556,1139,51
18444,33291,58
34058,16713,20
20506,6469,49
5453,10109,70
36772,18861,47
24904,22995,52
12789,30431,61
9243,23337,79
35753,7611,96
21355,36003,71
23530,28224,98
1650,11495,54
2461,2344,96
1077,37141,63
12490,15764,73
33157,35391,88
