card_1,card_2,card_3,result
15268,10063,2748,140
10743,15871,13642,74
7927,24187,30180,94
20547,7164,22864,58
34648,35731,19664,98
13009,9383,16862,77
24967,35646,30215,78
36524,2326,26372,81
3460,30785,3228,58
24780,6138,2547,98
26505,35643,37273,96
1839,15751,38391,86
22656,10083,3209,120
4832,23354,27196,81
28590,16096,8634,100
9456,25501,208,71
21012,11423,1169,92
33405,2450,10891,107
27970,9978,14680,139
30462,3514,31725,76
6774,13158,9355,73
38392,2386,34225,62
2606,30990,19732,94
7086,37140,36243,59
21857,14582,31129,85
21792,27024,31147,58
35359,18420,38003,121
24836,36172,23730,76
14709,33012,25817,115
21815,11361,18323,58
21185,36352,14695,113
27189,34892,32290,40
12057,31530,14312,112
2564,24055,5349,96
28792,3855,4954,84
11644,23258,7836,105
15845,27093,15227,93
7594,38339,33796,57
33364,15290,9412,103
5676,25235,10812,46
21304,29405,15234,95
16233,26493,10567,73
14695,24265,13152,110
21283,34809,23761,119
9222,13162,29633,70
5022,28707,24095,73
1775,19061,13630,73
25860,31230,36373,77
15179,13684,24428,83
8446,22954,37046,113
8517,28165,21885,104
34997,1081,1588,93
33352,23350,28218,133
21196,3281,28059,116
4543,19183,24897,33
20334,15975,16001,76
14613,13697,19795,83
9340,6217,17020,85
36267,11402,9517,58
22976,25608,12194,123
26444,7645,27440,70
18089,24197,9156,79
25826,17012,9519,76
11741,25881,24799,51
13995,23000,1668,106
29644,25951,28904,72
25979,27123,22190,78
38741,36293,10217,77
23370,27364,25839,105
25103,27799,22019,74
10937,16014,8596,94
17575,37979,21905,96
5516,15772,31947,90
21114,26507,14628,104
32711,10875,22860,81
7508,14301,27333,100
11325,29750,19255,30
34960,36360,34797,55
17608,1073,11383,68
21021,2412,34119,107
32771,26405,21871,45
38670,33395,16620,51
19570,28793,20361,60
3925,341,26685,58
33478,10028,22507,135
15090,30847,24503,88
22014,9357,10967,76
17302,28590,30897,74
37988,22589,28878,124
10235,15977,10623,112
12765,1164,35718,124
28209,8535,2591,127
4085,14433,10762,106
33778,10705,34698,50
2490,25868,16843,97
28997,5589,4699,63
9339,13226,14591,108
24296,18779,22010,70
19632,32655,8013,79
1718,13989,35577,110
11549,9190,10691,61
28989,37074,21953,86
26368,22947,16920,72
2339,12832,6944,94
3318,24958,18124,46
17567,1678,4689,84
22690,26550,25944,99
4689,32279,28010,68
26451,26484,9376,51
38346,36448,20440,28
10864,6505,36339,92
31025,27425,22587,82
30801,2477,31667,100
32392,38555,26331,25
14558,10992,11408,76
19604,4574,29328,46
22124,16801,12860,75
27483,1584,7010,66
5619,10274,7964,113
5758,5003,32605,41
18923,29284,5495,39
18844,19076,28828,62
26592,17698,30049,60
15226,16165,23619,130
18759,15119,7235,64
37965,34567,9101,89
2769,10738,18810,88
30248,35322,9798,126
15013,18001,10091,115
22706,15004,26767,102
17387,14737,4577,82
33410,34951,20293,54
14444,13100,6195,128
33059,21259,5383,104
10577,38548,6107,76
11647,7010,28130,63
15754,33829,26517,58
19613,4619,36802,73
38475,6176,4218,92
37517,10219,1241,128
31741,36153,35371,108
28606,22107,3832,95
18108,32512,25964,69
13228,32326,32397,55
4041,38353,37130,76
2771,28922,26271,90
16135,37273,24404,97
34235,24985,23736,64
16979,5616,36358,51
30357,32409,33750,39
1081,38336,28574,67
11540,33101,27173,60
927,37000,15879,100
10547,25817,32397,70
2305,37103,24209,108
19806,5628,24784,50
32424,4569,4802,36
105,30463,10823,52
2518,11432,19758,86
3130,7639,26743,75
2681,34211,20554,59
26326,25503,30162,72
32018,27308,1656,93
28170,13594,13156,98
18858,27518,32697,39
26562,13513,26759,37
11686,7729,3353,73
27142,25970,34130,62
15817,6024,7103,91
21108,37693,8596,128
25595,5648,28685,87
10573,31092,7203,49
30931,28996,10780,72
3788,4875,35705,107
4013,16232,31979,111
20771,17534,12784,67
27829,1543,7081,97
10888,22985,37238,104
6220,26524,8019,102
36888,27287,18447,69
33025,19134,31612,85
6874,7740,14668,92
18396,23583,33254,110
30373,38423,32741,35
1898,34700,215,67
30233,19183,28721,68
17717,36365,7871,90
2728,18914,10977,88
20490,16756,14440,55
1778,30032,28835,96
27513,9336,38444,47
37519,33445,7563,123
31705,6425,20396,83
30363,32524,36344,51
7162,38711,15055,53
16677,24965,33974,23
3304,23696,26319,84
10648,33920,31235,51
12986,21040,6322,136
34611,1156,26444,61
20318,6914,17275,35
16223,13620,34057,59
21475,24845,33507,88
22827,4585,36775,94
24487,441,11544,45
28616,1263,34153,71
10721,455,23750,82
3878,5581,457,65
12509,21944,19651,89
19990,25691,22717,115
3382,22766,6057,116
16906,871,18366,66
31944,34971,33435,86
3450,21345,22033,95
27182,7746,20602,60
48,23348,35006,75
8015,20250,4959,59
37914,6384,6247,139
17618,34061,25523,73
4967,29258,21063,68
26492,17659,21935,63
28262,30468,9767,119
25618,28858,6823,75
10107,27757,26347,109
4177,16269,18271,100
25967,21254,30148,110
35686,18845,27166,84
32438,15118,6366,96
9102,6042,32760,82
7703,1793,20622,89
18991,14521,14754,100
19541,17719,12867,93
24103,27404,2614,92
38344,37120,6336,83
4016,14417,15443,123
8008,17528,12384,105
38315,33938,12472,50
37967,28974,4146,115
13793,9312,29604,44
7851,36004,12806,103
34069,35479,25733,100
16008,33164,24880,75
34060,7779,35629,105
19092,29396,38707,25
20000,6815,29436,39
15510,1960,18993,101
14385,16092,2443,127
22167,30223,1511,91
38390,31931,1961,83
2250,5533,10694,91
28170,1144,20394,80
36064,28651,4691,65
1179,33123,22595,116
895,26639,4199,84
10841,16610,34775,52
21796,20680,24497,56
10873,30998,4708,56
19696,37156,24389,88
36355,10796,795,77
4723,5389,36175,54
5640,3341,38737,44
16691,17315,7795,80
35427,22560,16705,113
7901,18051,30891,84
6318,3964,27311,102
